https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,12.1.0,General changes/features,Ranorex Studio is now compatible with Android 15 and iOS 18.
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,12.0.0,General changes/features,"Ranorex can now be used via a subscription license key.

Starting on January 6"","" 2025"","" new customers can purchase Ranorex Studio using subscription-based licensing.
To learn more about the new Subscription Licensing model"","" please visit: User Guide - Subscription Licensing


"
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,12.0.0,General changes/features,"Starting on January 6"","" 2025"","" new customers can purchase Ranorex Studio using subscription-based licensing."
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,12.0.0,General changes/features,"To learn more about the new Subscription Licensing model"","" please visit: User Guide - Subscription Licensing
"
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.7.0,General changes/features,"Introduced a keyboard solution for iOS applications"","" enabling seamless interaction with iOS keyboards while maintaining compatibility and eliminating limitations caused by Apple's restrictions for iOS 16 and above"","" blocking direct access to the system keyboard. This virtual keyboard simulates real keyboard behavior"","" ensuring uninterrupted functionality for users testing purposes.
Review the Virtual Keyboard article to gather more detailed information about this feature.
"
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.7.0,Bugs,"Fixed an issue where the TestID could not be found for Android applications using React Native"","" ensuring consistent element detection."
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.7.0,Bugs,"Resolved a problem in the Selenium integration where elements could not be located using RanoreXPath"","" improving cross-tool compatibility."
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.7.0,Bugs,"Addressed an unexpected behavior in the findElements method of RXDriver"","" enhancing stability during test execution."
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.7.0,Bugs,"Addressed several issues with iOS keyboard UI integration where elements were not recognized"","" ensuring smoother interactions with iOS apps."
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.7.0,Bugs,"Resolved an issue where the iOS search or return button on the keyboard was triggered automatically"","" improving user control during test scenarios."
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.7.0,Bugs,"Updated the behavior for the iOS virtual keyboard to ensure it does not display on devices running iOS versions below 15"","" disrupting usability and aligning with expected functionality for specific cases."
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.6.2,General changes/features,Specific UI elements (such as TreeView objects) are now properly handled and recognized in Ranorex Studio.
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.6.2,General changes/features,"Enhanced support for SAP applications"","" ensuring redundant scaling pop-up warnings do not disrupt tests."
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.6.2,Bugs,Resolved an issue where the TouchStart event was not supported for web testing on mobile devices.
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.6.2,Bugs,Resolved a problem where the 'raiseevent' action failed to raise the 'change' event after updating Ranorex.
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.6.2,Bugs,"Resolved an instrumentation error that occurred with iOS Native apps"","" enhancing reliability and stability during test execution."
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.6.2,Bugs,Resolved a build error when using Click CenterLeft with 'Location' as a repository variable.
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.6.1,General changes/features,This release introduces new settings that enable compatibility with older RXPaths(created with Ranorex Studio versions prior to 10.7.6).
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.6.1,Bugs,The WPF plugin is now significantly faster on applications built with .NET 5 and above.
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.6.1,Bugs,Performance issues during test execution have been resolved for both debug and non-debug mode applications built with .NET 5+
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.6.1,"Note: To learn more about the new settings included in this release, please visit these links for a more detailed explanation:",WPF (solution setting)
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.6.1,"Note: To learn more about the new settings included in this release, please visit these links for a more detailed explanation:",Different RxPaths upon updating Ranorex Studio
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.6.0,Features,Added tracking and object recognition of Swift UI elements when executing tests in iOS applications.
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.5.1,Bugs ,Users can properly configure UAT application configuration in Ranorex Service App
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.5.1,Bugs ,Fixed a crash of an Android application after successful instrumentation
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.5.1,Bugs ,Fixed a crash of an Android application after startup
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.5.1,Bugs ,Ranorex runs tests with Selenium Web-Driver and Edge-Chromium browser correctly
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.5.1,Bugs ,Ranorex correctly detects toolbar single elements of AUT based on .NET WinForms after upgrading to version 11.5.1
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.5.1,Bugs ,Fixed NullReferenceException in GridPattern.GetItem of UIA plugin when updating to Ranorex version 11.5.1
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.5.0,Bugs ,ExecuteScript function now works correctly in Ranorex Chrome extension
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.5.0,Bugs ,Dropdown option with TagValue can now be selected in Chrome
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.5.0,Bugs ,Document cookies can now be retrieved from Chrome
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.5.0,Bugs ,Web element property value can now be retrieved in Chrome
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.4.1,Bugs ,Dynamic properties of elements are now available in Spy for .NET6 applications
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.4.1,Bugs ,Screenshots are now uploaded correctly to the Applitools dashboard
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.4.1,Bugs ,Elements within dropdown lists are now properly tracked as separate elements
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.4.1,Bugs ,Ranorex no longer throws MSBuild errors on startup after installation
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.4.1,Bugs ,"Ranorex Spy is now able to identify Context Menu elements with Automation ID properties correctly Note: To enable this new setting"","" go to Settings > Plugins > UIA > Force recognition of context menus with UIA plugin and set the value to ÅgTrueÅhFor more information please visit the Plugin specific settings page"
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.4.1,Features ,"The existing OpenSSL version has been updated"","" allowing for extra security and stability"
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.4.1,This release includes updates to our iOS mobile products. https://support.ranorex.com/mobile-download-archive/ ,Ranorex iOS Distributable Certificate Renewal. Customers who rely on iOS test automation should download and install the updated iOS distributable files from the downloads page. The previous certificate expires on 17 August 2024.
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.4.0,Bugs,Ranorex is now able to identify table cells in SAP
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.4.0,Bugs,SAP ECC objects are now trackable
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.4.0,Bugs,Ranorex Spy is now able to track individual SAP GUI elements
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.3,Bugs ,Elements with QTreeWidget can now be tracked correctly
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.3,Bugs ,The SetValue action is now able to be executed with success on iOS devices using the Safari browser
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.3,Bugs ,Ranorex can successfully connect to JIRA with new API Tokens 
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.3,Bugs ,Chrome and Edge browsers can be successfully launched with the clearCookies flag set to True
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.3,Bugs ,Ranorex can identify specific Delphi elements (Checkbox in Grid cell and Tab control)
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.2,Bugs ,Size and quality of images in PDF reports can now be changed as expected
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.2,Bugs ,CSV reports now include data even when data-driven testing is applied to a smart folder
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.2,Bugs ,Individual elements in 64-bit applications can now be properly tracked
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.2,Bugs ,Applitools integration no longer runs into an unexpected error
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.1,General changes/features ,ÅeLocationÅf can now be used as a repo variable. It will be automatically set as ÅeLocation1Åf upon creation
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.1,General changes/features ,The name of the active Excel worksheet can now be read and fetched
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.1,General changes/features ,"Ranorex Driver is now compatible with Python Selenium 3.14.0"","" 3.141.0 & 4.19.0"
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.1,Bugs ,Ranorex now works correctly in remote machines where it is not installed
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.1,Bugs ,Generic UI elements are now properly recognized both in Ranorex Studio and Spy
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.1,Bugs ,Option tags now work correctly
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.1,Bugs ,JUnit reports can now be successfully exported to XRay
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.0,General changes/features,Ranorex Studio is now compatible with Android 13 and Android 14
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.0,Bugs,Elements can now correctly be detected and touched after swiping up on Android
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.0,Bugs,Inject events are now handled correctly on Android
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.0,Bugs,Content from tabs is now properly tracked through USB and WiFi on Android
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.3.0,Bugs,Several Android default controls now work as expected
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.1,Bugs,Fixed several issues with Edge instrumentation
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.1,Bugs,"Edge can now be launched correctly using Windows 11"","" version 22H2"
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.1,Bugs,Chrome and Edge can now be launched with the clearCookies flag set to True
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.1,Bugs,Elements and clicks outside of the screen on Java tables are now properly tracked
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.1,Bugs,Added mscorlib.dll as reference after importing external packages
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.1,Bugs,The tab pages of the AUT can now be navigated through
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.0,General changes/features,Ranorex Studio is now compatible with iOS 17
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.0,Bugs,Elements and images are now displayed correctly when tracked through Spy for UISplitViewController application
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.0,Bugs,Text inside Empty_state of the iOS 17 feature app is now trackable
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.0,Bugs,Elements are now properly tracked in the Safari browser
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.0,Bugs,FetchstartableApps is now working in Spy
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.2.0,Bugs,Fixed an issue with the HasFocus attribute when an element in the menu bar was selected in Spy
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.3,General changes/features,Ranorex updated KeePass to version 2.55
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.3,Bugs,The Invoke action Select() now works as expected in web applications after a page refresh 
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.3,Bugs,Fixed bug related to API Level 33 that made instrumented Android apps not open as expected
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.3,Bugs,PDF reports are now properly created when the ÅgInclude video reportingÅh option is enabled
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.3,Bugs,Video links are no longer missing in PDF reports
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.2,General changes/features,Added support for Qt version 6.3
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.2,Bugs,Fixed bug where AccesibleName property value was not being shown for desktop applications built using QT 5 
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.2,Bugs,Fixed bug where Oracle form objects were not getting tracked
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.2,Bugs,Fixed bug where it was unable to detect Desktop App Table Rows and Cells for Delphi Based applications
https://support.ranorex.com/hc/en-us/articles/22490943032093-Ranorex-Studio-Previous-Release-Notes,11.1.2,Bugs,Ranorex driver now supports the isDisplayed() Selenium webdriver command
